order_id,order_date,customer_name,email,phone,product,quantity,total_eur,ship_address,county,eircode,status,carrier,tracking_number,dispatch_date,est_delivery,delivered_date,notes
SG-1031,2026-07-15,Padraig Kennedy,padraig.kennedy@yahoo.ie,+353 87 220 8834,Set of 2,1,56.99,"6 Abbey Court, Athlone",Westmeath,N37RK92,Delivered,GLS,GLSIE7740221,2026-07-16,2026-07-18,2026-07-17,Delivered early
SG-1030,2026-07-14,Roisin Brennan,roisin.brennan@gmail.com,+353 85 112 7768,Set of 2,1,56.99,"48 Woodlands Avenue, Drogheda",Louth,A92FK83,Return Requested,An Post,CA737620188IE,2026-07-15,2026-07-17,2026-07-16,Delivered - customer requested return (changed mind); return label issued 2026-07-19
SG-1029,2026-07-14,Fionn O'Brien,fionn.obrien@gmail.com,+353 86 447 1120,Set of 4,1,99.98,"2 Harbour View, Kinsale",Cork,P17XA46,Delivered,Fastway,FW-IE-87990412,2026-07-15,2026-07-17,2026-07-16,Delivered
SG-1028,2026-07-13,Ciara Lynch,ciara.lynch@outlook.com,+353 87 889 3301,Set of 2,1,56.99,"15 Parkview, Letterkenny",Donegal,F92YT08,Refunded,An Post,CA737540093IE,2026-07-14,2026-07-16,2026-07-15,Returned - refund of EUR 56.99 issued 2026-07-20 to original card
SG-1027,2026-07-13,Eoin Power,eoin.power@gmail.com,+353 83 556 2247,Set of 2,1,56.99,"9 Sunville Terrace, Waterford",Waterford,X91HN25,Delivered,DPD Ireland,DPD5536770219,2026-07-14,2026-07-16,2026-07-15,Delivered
SG-1026,2026-07-12,Aisling Moore,aisling.moore@gmail.com,+353 85 332 9980,Set of 4,1,99.98,"33 Glenview Heights, Sligo",Sligo,F91DE44,Delivered,An Post,CA737411500IE,2026-07-13,2026-07-15,2026-07-14,Delivered
SG-1025,2026-07-12,Cormac Healy,cormac.healy@gmail.com,+353 87 004 5518,Set of 2,1,56.99,"1 Millrace, Clonmel",Tipperary,E91CX37,Cancelled,,,,,,Order cancelled by customer before dispatch; refund of EUR 56.99 issued 2026-07-13
SG-1024,2026-07-11,Meabh Connolly,meabh.connolly@gmail.com,+353 86 778 1143,Set of 2,1,56.99,"20 Dun na Mara, Salthill",Galway,H91AK29,Delivered,Fastway,FW-IE-87770126,2026-07-12,2026-07-14,2026-07-13,Delivered
SG-1023,2026-07-11,Ronan Sheehan,ronan.sheehan@yahoo.ie,+353 87 445 6672,Set of 2,1,56.99,"12 The Paddocks, Portlaoise",Laois,R32VF61,Delivered,An Post,CA737290844IE,2026-07-12,2026-07-14,2026-07-14,Delivered
SG-1022,2026-07-10,Sinead Kavanagh,sinead.kavanagh@gmail.com,+353 85 660 2219,Set of 4,1,99.98,"7 Cedar Grove, Bray",Wicklow,A98RP53,Delivered,DPD Ireland,DPD5535004871,2026-07-11,2026-07-13,2026-07-12,Delivered
SG-1021,2026-07-10,Diarmuid Foley,diarmuid.foley@gmail.com,+353 83 991 7734,Set of 2,1,56.99,"5 Rockfield, Dundalk",Louth,A91KP07,Delivered,An Post,CA737150233IE,2026-07-11,2026-07-13,2026-07-13,Delivered - customer reported one caddy adhesive pad missing; replacement pad posted 2026-07-14
SG-1020,2026-07-09,Blathnaid Casey,blathnaid.casey@outlook.com,+353 87 220 4456,Set of 2,1,56.99,"29 Willow Park, Mullingar",Westmeath,N91FT82,Delivered,GLS,GLSIE7710884,2026-07-10,2026-07-12,2026-07-11,Delivered
SG-1019,2026-07-08,Tadhg Whelan,tadhg.whelan@gmail.com,+353 86 550 1198,Set of 2,1,56.99,"3 Bishopstown Road, Cork",Cork,T12YE39,Delivered,Fastway,FW-IE-87550390,2026-07-09,2026-07-11,2026-07-10,Delivered
SG-1018,2026-07-08,Laoise Duffy,laoise.duffy@gmail.com,+353 85 447 3320,Set of 4,1,99.98,"16 Ard na Greine, Westport",Mayo,F28HK61,Delivered,An Post,CA737002119IE,2026-07-09,2026-07-11,2026-07-10,Delivered
SG-1017,2026-07-07,Oisin Reilly,oisin.reilly@gmail.com,+353 87 118 8865,Set of 2,1,56.99,"8 Fairways, Carlow",Carlow,R93DP20,Refunded,DPD Ireland,DPD5533221007,2026-07-08,2026-07-10,2026-07-09,Faulty on arrival (cracked shelf) - full refund EUR 56.99 issued 2026-07-12
SG-1016,2026-07-06,Caoimhe Dunne,caoimhe.dunne@gmail.com,+353 83 774 5590,Set of 2,1,56.99,"24 Glasnevin Avenue, Dublin 11",Dublin,D11XR46,Delivered,An Post,CA736880554IE,2026-07-07,2026-07-09,2026-07-08,Delivered
SG-1015,2026-07-05,Fergal Hughes,fergal.hughes@yahoo.ie,+353 86 220 9917,Set of 2,1,56.99,"10 Elm Court, Navan",Meath,C15KV72,Delivered,Fastway,FW-IE-87330218,2026-07-06,2026-07-08,2026-07-07,Delivered
SG-1014,2026-07-04,Aoibhinn Martin,aoibhinn.martin@gmail.com,+353 87 663 2204,Set of 4,1,99.98,"19 Coast Road, Youghal",Cork,P36AT58,Delivered,An Post,CA736700331IE,2026-07-05,2026-07-07,2026-07-06,Delivered
SG-1013,2026-06-28,Shane Gorman,shane.gorman@gmail.com,+353 85 009 4432,Set of 2,1,56.99,"4 Steeple View, Trim",Meath,C15EH90,Delivered,DPD Ireland,DPD5528440190,2026-06-29,2026-07-01,2026-06-30,Delivered - outside 60-day return window notes N/A
